N,Tiempo
1555, 100
1556, 300
1557, 200
1558, 200
1559, 200
1560, 300
1561, 100
1562, 200
1563, 100
1564, 200
1565, 200
1566, 300
1567, 200
1568, 200
1569, 400
1570, 200
1571, 0
1572, 700
1573, 200
1574, 500
1575, 0
1576, 0
1577, 300
1578, 100
1579, 200
1580, 200
1581, 200
1582, 500
1583, 300
1584, 100
1585, 400
1586, 0
1587, 100
1588, 200
1589, 300
1590, 300
1591, 100
1592, 500
1593, 100
1594, 300
1595, 100
1596, 100
1597, 100
1598, 0
1599, 400
1600, 300
1601, 300
1602, 300
1603, 200
1604, 0
1605, 0
1606, 0
1607, 200
1608, 300
1609, 200
1610, 300
1611, 300
1612, 0
1613, 200
1614, 300
1615, 0
1616, 200
1617, 600
1618, 100
1619, 0
1620, 0
1621, 300
1622, 100
1623, 100
1624, 200
1625, 300
1626, 100
1627, 200
1628, 200
1629, 200
1630, 100
1631, 200
1632, 300
1633, 200
1634, 300
1635, 200
1636, 400
1637, 100
1638, 100
1639, 100
1640, 0
1641, 100
1642, 100
1643, 100
1644, 100
1645, 200
1646, 200
1647, 400
1648, 200
1649, 300
1650, 100
1651, 300
1652, 300
1653, 100
1654, 200
1655, 0
1656, 0
1657, 0
1658, 100
1659, 300
1660, 200
1661, 100
1662, 300
1663, 200
1664, 100
1665, 300
1666, 300
1667, 200
1668, 100
1669, 300
1670, 100
1671, 400
1672, 300
1673, 300
1674, 500
1675, 100
1676, 400
1677, 500
1678, 200
1679, 300
1680, 300
1681, 100
1682, 100
1683, 100
1684, 300
1685, 300
1686, 300
1687, 500
1688, 100
1689, 300
1690, 400
1691, 100
1692, 400
1693, 200
1694, 400
1695, 300
1696, 0
1697, 0
1698, 200
1699, 200
1700, 100
1701, 200
1702, 200
1703, 300
1704, 300
1705, 300
1706, 300
1707, 400
1708, 300
1709, 300
1710, 300
1711, 300
1712, 300
1713, 300
1714, 200
1715, 200
1716, 300
1717, 200
1718, 100
1719, 100
1720, 300
1721, 400
1722, 200
1723, 100
1724, 100
1725, 100
1726, 600
1727, 100
1728, 300
1729, 100
1730, 400
1731, 200
1732, 200
1733, 200
1734, 100
1735, 200
1736, 400
1737, 300
1738, 500
1739, 200
1740, 0
1741, 300
1742, 300
1743, 300
1744, 400
1745, 100
1746, 200
1747, 0
1748, 200
1749, 400
1750, 100
1751, 400
1752, 300
1753, 400
1754, 300
1755, 200
1756, 300
1757, 300
1758, 200
1759, 400
1760, 500
1761, 100
1762, 0
1763, 300
1764, 300
1765, 0
1766, 300
1767, 100
1768, 500
1769, 100
1770, 100
1771, 100
1772, 300
1773, 0
1774, 200
1775, 0
1776, 200
1777, 400
1778, 100
1779, 400
1780, 0
1781, 0
1782, 300
1783, 100
1784, 300
1785, 100
1786, 400
1787, 200
1788, 100
1789, 400
1790, 400
1791, 700
1792, 100
1793, 300
1794, 300
1795, 100
1796, 300
1797, 100
1798, 300
1799, 200
1800, 0
1801, 0
1802, 0
1803, 200
1804, 300
1805, 700
1806, 200
1807, 300
1808, 300
1809, 300
1810, 300
1811, 700
1812, 200
1813, 500
1814, 300
1815, 100
1816, 400
1817, 100
1818, 200
1819, 200
1820, 200
1821, 300
1822, 100
1823, 200
1824, 400
1825, 400
1826, 400
1827, 300
1828, 0
1829, 200
1830, 200
1831, 100
1832, 100
1833, 100
1834, 600
1835, 300
1836, 100
1837, 100
1838, 400
1839, 300
1840, 100
1841, 600
1842, 200
1843, 200
1844, 400
1845, 300
1846, 200
1847, 100
1848, 100
1849, 200
1850, 400
1851, 400
1852, 600
1853, 300
1854, 200
1855, 100
1856, 100
1857, 200
1858, 300
1859, 100
1860, 500
1861, 100
1862, 300
1863, 400
1864, 300
1865, 500
1866, 200
1867, 200
1868, 300
1869, 100
1870, 0
1871, 200
1872, 0
1873, 0
1874, 0
1875, 400
1876, 100
1877, 100
1878, 100
1879, 400
1880, 200
1881, 0
1882, 200
1883, 400
1884, 100
1885, 100
1886, 200
1887, 100
1888, 200
1889, 0
1890, 0
1891, 200
1892, 0
1893, 200
1894, 100
1895, 300
1896, 0
1897, 300
1898, 300
1899, 100
1900, 100
1901, 400
1902, 100
1903, 100
1904, 200
1905, 200
1906, 100
1907, 100
1908, 200
1909, 300
1910, 200
1911, 100
1912, 300
1913, 300
1914, 100
1915, 300
1916, 300
1917, 100
1918, 100
1919, 300
1920, 100
1921, 200
1922, 600
1923, 200
1924, 200
1925, 0
1926, 100
1927, 400
1928, 300
1929, 200
1930, 300
1931, 200
1932, 300
1933, 100
1934, 100
1935, 200
1936, 200
1937, 200
1938, 200
1939, 0
1940, 300
1941, 100
1942, 0
1943, 0
1944, 100
1945, 500
1946, 300
1947, 100
1948, 100
1949, 100
1950, 100
1951, 300
1952, 0
1953, 300
1954, 300
1955, 100
1956, 300
1957, 400
1958, 300
1959, 300
1960, 100
1961, 300
1962, 400
1963, 100
1964, 500
1965, 300
1966, 0
1967, 100
1968, 300
1969, 200
1970, 100
1971, 300
1972, 100
1973, 200
1974, 200
1975, 100
1976, 100
1977, 200
1978, 400
1979, 100
1980, 300
1981, 400
1982, 300
1983, 100
1984, 200
1985, 100
1986, 300
1987, 300
1988, 0
1989, 100
1990, 300
1991, 300
1992, 200
1993, 400
1994, 500
1995, 300
1996, 100
1997, 100
1998, 200
1999, 200
2000, 400
2001, 300
2002, 100
2003, 200
2004, 400
2005, 100
2006, 0
2007, 0
2008, 0
2009, 0
2010, 300
2011, 300
2012, 200
2013, 400
2014, 100
2015, 500
2016, 300
2017, 100
2018, 100
2019, 200
2020, 200
2021, 100
2022, 100
2023, 100
2024, 300
2025, 200
2026, 300
2027, 400
2028, 300
2029, 200
2030, 0
2031, 300
2032, 300
2033, 300
2034, 100
2035, 400
2036, 0
2037, 300
2038, 500
2039, 200
2040, 0
2041, 0
2042, 300
2043, 300
2044, 300
2045, 300
2046, 500
2047, 300
2048, 100
2049, 200
2050, 100
2051, 400
2052, 300
2053, 300
2054, 200
2055, 600
2056, 200
2057, 400
2058, 500
2059, 100
2060, 200
2061, 100
2062, 100
2063, 200
2064, 0
2065, 0
2066, 200
2067, 400
2068, 300
2069, 100
2070, 300
2071, 0
2072, 200
2073, 0
2074, 0
2075, 400
2076, 100
2077, 300
2078, 0
2079, 300
2080, 300
2081, 200
2082, 400
2083, 300
2084, 300
2085, 200
2086, 400
2087, 300
2088, 300
2089, 300
2090, 200
2091, 300
2092, 300
2093, 0
2094, 300
2095, 600
2096, 200
2097, 300
2098, 300
2099, 200
2100, 200
2101, 300
2102, 300
2103, 300
2104, 0
2105, 400
2106, 100
2107, 300
2108, 100
2109, 300
2110, 200
2111, 0
2112, 400
2113, 100
2114, 400
2115, 0
2116, 100
2117, 0
2118, 0
2119, 200
2120, 200
2121, 0
2122, 200
2123, 0
2124, 0
2125, 200
2126, 300
2127, 0
2128, 300
2129, 400
2130, 300
2131, 400
2132, 100
2133, 100
2134, 300
2135, 400
2136, 800
2137, 100
2138, 200
2139, 0
2140, 200
2141, 100
2142, 100
2143, 100
2144, 100
2145, 0
2146, 200
2147, 200
2148, 100
2149, 200
2150, 300
2151, 500
2152, 200
2153, 400
2154, 0
2155, 300
2156, 300
2157, 400
2158, 300
2159, 300
2160, 100
2161, 600
2162, 0
2163, 200
2164, 100
2165, 100
2166, 200
2167, 100
2168, 100
2169, 200
2170, 200
2171, 200
2172, 0
2173, 300
2174, 100
2175, 400
2176, 200
2177, 200
2178, 300
2179, 100
2180, 100
2181, 200
2182, 0
2183, 400
2184, 200
2185, 100
2186, 400
2187, 200
2188, 100
2189, 0
2190, 300
2191, 0
2192, 200
2193, 300
2194, 200
2195, 400
2196, 0
2197, 200
2198, 0
2199, 0
2200, 400
2201, 300
2202, 300
2203, 100
2204, 200
2205, 300
2206, 500
2207, 300
2208, 300
2209, 300
2210, 100
2211, 300
2212, 400
2213, 500
2214, 300
2215, 100
2216, 200
2217, 0
2218, 300
2219, 300
2220, 0
2221, 100
2222, 200
2223, 500
2224, 100
2225, 100
2226, 300
2227, 300
2228, 0
2229, 300
2230, 500
2231, 400
2232, 200
2233, 300
2234, 500
2235, 100
2236, 100
2237, 400
2238, 500
2239, 500
2240, 300
2241, 100
2242, 100
2243, 300
2244, 300
2245, 100
2246, 100
2247, 300
2248, 0
2249, 400
2250, 100
2251, 100
2252, 300
2253, 400
2254, 500
2255, 100
2256, 100
2257, 0
2258, 200
2259, 100
2260, 100
2261, 300
2262, 400
2263, 300
2264, 300
2265, 200
2266, 0
2267, 300
2268, 400
2269, 100
2270, 800
2271, 100
2272, 100
2273, 300
2274, 300
2275, 300
2276, 100
2277, 100
2278, 300
2279, 400
2280, 100
2281, 300
2282, 400
2283, 500
2284, 300
2285, 400
2286, 500
2287, 100
2288, 100
2289, 100
2290, 500
2291, 500
2292, 400
2293, 200
2294, 0
2295, 300
2296, 300
2297, 200
2298, 200
2299, 500
2300, 100
2301, 100
2302, 200
2303, 200
2304, 0
2305, 200
2306, 0
2307, 0
2308, 300
2309, 100
2310, 400
2311, 0
2312, 400
2313, 400
2314, 500
2315, 200
2316, 200
2317, 300
2318, 200
2319, 100
2320, 100
2321, 200
2322, 300
2323, 300
2324, 300
2325, 200
2326, 300
2327, 0
2328, 400
2329, 400
2330, 400
2331, 100
2332, 300
2333, 300
2334, 400
2335, 100
2336, 400
2337, 400
2338, 300
2339, 300
2340, 200
2341, 300
2342, 300
2343, 500
2344, 400
2345, 300
2346, 300
2347, 100
2348, 400
2349, 300
2350, 300
2351, 300
2352, 400
2353, 300
2354, 300
2355, 200
2356, 400
2357, 500
2358, 400
2359, 200
2360, 0
2361, 0
2362, 200
2363, 300
2364, 300
2365, 100
2366, 500
2367, 500
2368, 400
2369, 100
2370, 500
2371, 200
2372, 300
2373, 300
2374, 400
2375, 400
2376, 400
2377, 100
2378, 400
2379, 200
2380, 100
2381, 300
2382, 300
2383, 100
2384, 0
2385, 400
2386, 400
2387, 100
2388, 100
2389, 100
2390, 300
2391, 300
2392, 400
2393, 0
2394, 200
2395, 400
2396, 300
2397, 0
2398, 0
2399, 200
2400, 300
2401, 200
2402, 300
2403, 500
2404, 200
